Process Name,USER,PID,CPU_MEAN,CPU_STD_Deviation,MEM_MEAN,MEM_STD_Deviation
ModemManager,root,991,0.0,0.0,0.0770423986637782,0.0
run-cups-browse,root,1003,0.0,0.0,0.0062746124750122,0.0
run-cupsd,root,1004,0.0,0.0,0.0101378052537453,0.0
unattended-upgr,root,1006,0.0,0.0,0.1471704204433272,0.0
lightdm,root,1007,0.0,0.0,0.0470718967243078,0.0
Xorg,root,1049,6.346666666666667,2.9214702643955026,0.9048483315436334,0.0
agetty,root,1050,0.0,0.0,0.0043061066004986,0.0
cupsd,root,1354,0.0,0.0,0.0723425908883768,0.0
cups-proxyd,root,1355,0.08666666666666667,0.2648790658776754,0.0645669926840479,0.0
rtkit-daemon,rtkit,1414,0.030000000000000002,0.16431676725154984,0.0192421449233709,0.0
run-cups-browse,root,1462,0.0,0.0,0.000762796026374,0.0
upowerd,root,1566,0.0,0.0,0.0812746862939825,0.0
lightdm,root,1588,0.0,0.0,0.0581447422684471,0.0
iprt-VBoxWQueue,root,1605,0.0,0.0,0.0,0.0
iprt-VBoxTscThread,root,1606,0.0,0.0,0.0,0.0
systemd,guatam,1626,0.0,0.0,0.0677412084067011,0.0
(sd-pam),guatam,1627,0.0,0.0,0.0242618349033808,0.0
pipewire,guatam,1641,0.0,0.0,0.1399607676779209,0.0
wireplumber,guatam,1642,0.0,0.0,0.2253201036615193,0.0
pipewire-pulse,guatam,1643,0.0,0.0,0.3872297118402675,0.0
dbus-daemon,guatam,1645,0.25,0.4485609173253106,0.0373523989688966,0.0
gnome-keyring-daemon,guatam,1647,0.0,0.0,0.067150656644347,0.0
x-session-manager,guatam,1651,0.0,0.0,0.1711615857889623,0.0
dconf-service,guatam,1686,0.0,0.0,0.0379429507312507,0.0
ssh-agent,guatam,1709,0.0,0.0,0.0028789398414762,0.0
at-spi-bus-launcher,guatam,1710,0.0,0.0,0.0606299809350206,0.0
dbus-daemon,guatam,1716,0.0,0.0,0.0307825106127072,0.0
mate-settings-daemon,guatam,1729,0.08333333333333334,0.25472545509089656,0.2968506858766593,0.0
at-spi2-registryd,guatam,1731,0.0,0.0,0.0615158085785517,0.0
marco,guatam,1737,0.97,0.5748463062959255,0.2985239158699959,0.0
gvfsd,guatam,1738,0.0,0.0,0.0605069493178635,0.0
xdg-permission-store,guatam,1747,0.0,0.0,0.0446604770280285,0.0
mate-panel,guatam,1748,1.3900000000000001,1.0946106219990301,0.5072593575387377,0.0
syndaemon,guatam,1764,0.0,0.0,0.016904544197386,0.0
gvfs-udisks2-volume-monitor,guatam,1765,0.0,0.0,0.1046014809069693,0.0
caja,guatam,1768,1.4866666666666666,0.9137770547278623,1.016277246992041,0.005405794632681402
gvfs-mtp-volume-monitor,guatam,1773,0.0,0.0,0.0500246555360782,0.0
brisk-menu,guatam,1774,0.0,0.0,0.2952512748536169,0.0
mate-inhibit-applet,guatam,1778,0.0,0.0,0.2402561419843917,0.0
mate-screensaver,guatam,1780,0.0,0.0,0.2394933459580176,0.0
nm-applet,guatam,1789,0.02666666666666667,0.14605934866804432,0.308883178034624,0.0
applet.py,guatam,1807,0.0,0.0,0.2464569354891097,0.0
gvfs-gphoto2-volume-monitor,guatam,1811,0.0,0.0,0.0538632419913799,0.0
agent,guatam,1822,0.0,0.0,0.0423720889489064,0.0
skypeforlinux,guatam,1824,0.4066666666666667,0.44328968759315485,0.9279881180985414,5.9435772073012113e-05
blueman-applet,guatam,1831,0.0,0.0,0.3129432214008085,0.0
gvfs-goa-volume-monitor,guatam,1839,0.0,0.0,0.0512549717076493,0.0
mate-power-manager,guatam,1840,0.0,0.0,0.2828742941676124,0.0
mate-volume-control-status-icon,guatam,1841,0.0,0.0,0.2653299855610094,0.0
polkit-mate-authentication-agent-1,guatam,1855,0.0,0.0,0.1069144753095229,0.0
xdg-document-portal,guatam,1876,0.0,0.0,0.0747999423883947,0.0059819381922464245
